"when","monitor_ambient_1","monitor_ambient_2","pipe_inlet","pipe_outlet","sensor_A","sensor_AB","sensor_CD","sensor_EF","sensor_F","sensor_G","sensor_GH","sensor_H","sensor_K","sensor_L","sensor_M","sensor_N","sensor_O","sensor_Q","sensor_T","sensor_U","sensor_X","sensor_Z"
"2018.09.16_21:0",24.8188 ,22.5188 ,21.3920 ,20.6307 ,55.1818 ,53.9625 ,63.0000 ,59.9688 ,64.0812 ,61.6875 ,58.0875 ,20.8125 , , , ,58.3250 ,50.5063 ,63.2500 ,70.2062 ,60.7687 , ,55.0000 
"2018.09.16_21:1",24.8125 ,22.5556 ,21.2500 ,20.5437 ,55.4062 ,54.0000 ,63.0000 ,60.2045 ,64.1307 ,61.7102 ,58.2102 ,20.7188 , , , ,58.6250 ,50.5568 ,63.2443 ,70.2727 ,60.8125 , ,55.0341 
"2018.09.16_21:2",24.8125 ,22.2375 ,21.0625 ,20.3875 ,55.6125 ,54.0625 ,63.0000 ,60.4625 ,64.1875 ,61.7437 ,58.3312 ,20.5312 , , , ,58.9125 ,50.5750 ,63.2000 ,70.3375 ,60.8125 , ,55.0625 
"2018.09.16_21:3",24.7688 ,22.3562 ,20.8864 ,20.2670 ,55.7841 ,54.1000 ,63.0438 ,60.6875 ,64.2438 ,61.7500 ,58.4562 ,20.4489 , , , ,59.1562 ,50.6250 ,63.1875 ,70.4062 ,60.8125 , ,55.1063 
"2018.09.16_21:4",24.7222 ,22.3333 ,20.7375 ,20.1250 ,55.9500 ,54.1420 ,63.0625 ,60.9205 ,64.2841 ,61.7500 ,58.6023 ,20.2875 , , , ,59.3864 ,50.6307 ,63.1875 ,70.4773 ,60.8125 , ,55.1250 
"2018.09.16_21:5",24.6875 ,22.2125 ,20.5250 ,19.9438 ,56.0812 ,54.1875 ,63.1063 ,61.1437 ,64.3250 ,61.7500 ,58.7250 ,20.0437 , , , ,59.6125 ,50.6812 ,63.1875 ,70.5500 ,60.8125 , ,55.1250 
"2018.09.16_22:0",24.6438 ,21.8813 ,20.3580 ,19.7216 ,56.2386 ,54.2375 ,63.2188 ,61.3687 ,64.3812 ,61.8062 ,58.8563 ,19.8068 , , , ,59.7938 ,50.6875 ,63.1875 ,70.6250 ,60.8438 , ,55.1250 
"2018.09.16_22:1",24.5750 ,21.9750 ,20.1875 ,19.6187 ,56.3125 ,54.2500 ,63.1818 ,61.5909 ,64.4375 ,61.8125 ,59.0000 ,19.7125 , , , ,59.9886 ,50.6989 ,63.1989 ,70.7102 ,60.8693 , ,55.1705 
"2018.09.16_22:2",24.5625 ,21.7847 ,20.0188 ,19.5500 ,56.3937 ,54.3000 ,63.1875 ,61.8000 ,64.4875 ,61.8125 ,59.1375 ,19.6500 , , , ,60.1750 ,50.7500 ,63.2500 ,70.7812 ,60.8750 , ,55.1875 
"2018.09.16_22:3",24.5375 ,21.7437 ,19.8693 ,19.4489 ,56.4716 ,54.3125 ,63.2437 ,62.0063 ,64.5312 ,61.8125 ,59.2812 ,19.5398 , , , ,60.3125 ,50.7500 ,63.2500 ,70.8438 ,60.8750 , ,55.1875 
"2018.09.16_22:4",24.4250 ,21.7563 ,19.7375 ,19.3938 ,56.5375 ,54.3580 ,63.2670 ,62.2102 ,64.5909 ,61.8409 ,59.4261 ,19.5063 , , , ,60.4602 ,50.7500 ,63.2500 ,70.9205 ,60.8750 , ,55.1875 
"2018.09.16_22:5",24.3750 ,21.5903 ,19.6250 ,19.2812 ,56.6125 ,54.3750 ,63.3125 ,62.4125 ,64.6312 ,61.8750 ,59.5688 ,19.4125 , , , ,60.5875 ,50.7500 ,63.2812 ,70.9938 ,60.9125 , ,55.1875 
"2018.09.16_23:0",24.3313 ,21.5375 ,19.5398 ,19.2330 ,56.6875 ,54.3813 ,63.2938 ,62.5938 ,64.6875 ,61.8750 ,59.7062 ,19.4034 , , , ,60.7188 ,50.7812 ,63.3125 ,71.0687 ,60.9375 , ,55.1875 
"2018.09.16_23:1",24.1875 ,21.6562 ,19.4750 ,19.2125 ,56.7437 ,54.4261 ,63.3011 ,62.7727 ,64.7443 ,61.8750 ,59.8466 ,19.3625 , , , ,60.8466 ,50.8068 ,63.3409 ,71.1420 ,60.9375 , ,55.1875 
"2018.09.16_23:2",24.1667 ,21.3958 ,19.3438 ,19.1313 ,56.8062 ,54.4375 ,63.4125 ,62.9500 ,64.7938 ,61.8750 ,59.9937 ,19.2625 , , , ,60.9562 ,50.8125 ,63.3750 ,71.2062 ,60.9375 , ,55.1875 
"2018.09.16_23:3",24.1000 ,21.7063 ,19.3182 ,19.1420 ,56.8182 ,54.4562 ,63.4438 ,63.1250 ,64.8375 ,61.9062 ,60.1187 ,19.3068 , , , ,61.0312 ,50.8125 ,63.4188 ,71.2750 ,60.9562 , ,55.1875 
"2018.09.16_23:4",24.0188 ,21.6438 ,19.2625 ,19.1062 ,56.8125 ,54.4773 ,63.4489 ,63.2898 ,64.8864 ,61.9375 ,60.2614 ,19.2125 , , , ,61.1761 ,50.8125 ,63.4489 ,71.3466 ,61.0000 , ,55.1875 
"2018.09.16_23:5",24.0625 ,21.5375 ,19.1000 ,18.9375 ,56.8250 ,54.5000 ,63.4500 ,63.4625 ,64.9437 ,61.9375 ,60.4062 ,19.0000 , , , ,61.2625 ,50.8125 ,63.5000 ,71.4125 ,61.0000 , ,55.1875 
"2018.09.17_00:0",24.0556 ,21.2222 ,18.9943 ,18.7557 ,56.9205 ,54.5000 ,63.5438 ,63.6250 ,65.0000 ,61.9375 ,60.5375 ,18.7955 , , , ,61.3188 ,50.8500 ,63.5312 ,71.4750 ,61.0000 , ,55.1875 
"2018.09.17_00:1",24.0437 ,21.3562 ,18.8562 ,18.6812 ,56.9937 ,54.5000 ,63.5000 ,63.7898 ,65.0398 ,61.9659 ,60.6761 ,18.7375 , , , ,61.3920 ,50.8580 ,63.5852 ,71.5398 ,61.0000 , ,55.1875 
"2018.09.17_00:2",24.0188 ,21.2563 ,18.7563 ,18.5188 ,57.1125 ,54.5312 ,63.5562 ,63.9438 ,65.1000 ,61.9937 ,60.8125 ,18.5750 , , , ,61.4688 ,50.8750 ,63.6375 ,71.6125 ,61.0187 , ,55.1875 
"2018.09.17_00:3",23.9792 ,20.9653 ,18.6250 ,18.3920 ,57.2500 ,54.5562 ,63.6437 ,64.0812 ,65.1375 ,62.0000 ,60.9375 ,18.4659 , , , ,61.5250 ,50.8750 ,63.6812 ,71.6688 ,61.0562 , ,55.1875 
"2018.09.17_00:4",23.8687 ,21.3250 ,18.5562 ,18.4250 ,57.2750 ,54.5625 ,63.5682 ,64.2386 ,65.1875 ,62.0000 ,61.0739 ,18.5312 , , , ,61.5795 ,50.8409 ,63.7330 ,71.7330 ,61.0625 , ,55.1875 
"2018.09.17_00:5",23.9062 ,21.1000 ,18.4812 ,18.3687 ,57.2125 ,54.5625 ,63.5625 ,64.3875 ,65.2500 ,62.0000 ,61.2062 ,18.4125 , , , ,61.6688 ,50.8125 ,63.7875 ,71.7875 ,61.0625 , ,55.1875 
"2018.09.17_01:0",23.8542 ,21.0556 ,18.3920 ,18.3523 ,57.2330 ,54.5625 ,63.5125 ,64.5312 ,65.2938 ,62.0500 ,61.3312 ,18.4148 , , , ,61.7188 ,50.8125 ,63.8438 ,71.8500 ,61.0625 , ,55.1875 
"2018.09.17_01:1",23.8000 ,21.0437 ,18.3500 ,18.2750 ,57.1875 ,54.5625 ,63.4489 ,64.6705 ,65.3409 ,62.0625 ,61.4602 ,18.3188 , , , ,61.7898 ,50.8125 ,63.9034 ,71.9034 ,61.0909 , ,55.1875 
"2018.09.17_01:2",23.8062 ,21.1000 ,18.2557 ,18.2330 ,57.2045 ,54.5625 ,63.4375 ,64.8000 ,65.3812 ,62.0625 ,61.5938 ,18.2955 , , , ,61.8125 ,50.8125 ,63.9562 ,71.9625 ,61.1250 , ,55.1875 
"2018.09.17_01:3",23.7500 ,21.1389 ,18.1687 ,18.2500 ,57.1500 ,54.5625 ,63.4625 ,64.9313 ,65.4375 ,62.0625 ,61.7125 ,18.3125 , , , ,61.8625 ,50.8125 ,64.0125 ,72.0062 ,61.1250 , ,55.1875 
"2018.09.17_01:4",23.7250 ,20.7750 ,18.1187 ,18.1125 ,57.1812 ,54.5625 ,63.5398 ,65.0568 ,65.4886 ,62.0795 ,61.8352 ,18.1625 , , , ,61.8807 ,50.8125 ,64.0739 ,72.0625 ,61.1250 , ,55.1875 
"2018.09.17_01:5",23.6562 ,20.7937 ,18.0739 ,17.9830 ,57.2500 ,54.5625 ,63.5688 ,65.1750 ,65.5438 ,62.1250 ,61.9688 ,18.0114 , , , ,61.9375 ,50.8125 ,64.1312 ,72.1188 ,61.1250 , ,55.1875 
"2018.09.17_02:0",23.6500 ,20.9000 ,17.9875 ,17.9625 ,57.2875 ,54.5625 ,63.5568 ,65.2898 ,65.5852 ,62.1250 ,62.0966 ,18.0437 , , , ,61.9886 ,50.8125 ,64.1932 ,72.1648 ,61.1250 , ,55.1875 
"2018.09.17_02:1",23.6389 ,20.7500 ,17.9000 ,17.9750 ,57.3125 ,54.5625 ,63.5500 ,65.4062 ,65.6250 ,62.1250 ,62.2188 ,18.0312 , , , ,62.0250 ,50.8125 ,64.2500 ,72.2062 ,61.1562 , ,55.2000 
"2018.09.17_02:2",23.6687 ,20.7750 ,17.8466 ,17.9432 ,57.3011 ,54.5625 ,63.6187 ,65.5312 ,65.6875 ,62.1437 ,62.3312 ,18.0000 , , , ,62.0625 ,50.8125 ,64.3125 ,72.2500 ,61.1875 , ,55.1938 
